y,x0,x1,x2,x3,x4,x5
3.8,A0,A1,A0,95,125.0,6
99999.999,A1,A3,A0,165,5.0,12
0.48,A1,A0,A0,136,150.0,6
8.3,A1,A0,A0,105,70.0,6
3.0,A1,A3,A1,150,150.0,6
1.799,A1,A1,A0,75,,8
2.99,A1,A8,A0,0,150.0,4
0.8,A1,A3,A0,107,150.0,8
0.799,A0,A1,A0,60,150.0,12
2.45,A0,A0,A0,90,150.0,4
6.6,A1,A1,A0,116,50.0,6
0.899,A0,A7,A0,60,150.0,8
10.2,A1,A7,A0,102,150.0,7
2.99,A1,A0,A0,131,150.0,12
1.699,A0,A1,A1,58,150.0,11
20.39,A0,A7,A0,114,80.0,8
16.99,A0,A3,A0,143,80.0,8
0.85,A0,A1,,60,150.0,0
3.3,A0,A1,A0,101,150.0,3
1.3,A0,A0,A0,136,125.0,10
6.7,A1,A8,A0,105,100.0,2
4.499,A1,A0,A1,131,150.0,5
5.49,A1,A0,A1,69,80.0,7
4.5,A0,A5,A0,193,150.0,12
3.5,A0,A4,A1,179,150.0,8
5.45,A1,A0,A0,122,150.0,6
19.75,A1,A0,A1,239,150.0,2
5.449,A1,A3,A1,177,100.0,8
0.68,A1,A0,A0,101,150.0,6
13.75,A0,A8,A0,90,125.0,0
0.5,A1,A8,A2,0,150.0,10
10.3,A0,A3,A0,122,80.0,7
1.499,A0,A4,A0,141,150.0,12
6.75,A0,A4,A0,100,50.0,7
4.2,A0,A3,A0,129,125.0,5
13.2,A0,A3,A0,184,150.0,12
0.89,A0,A8,A0,75,100.0,0
16.0,A1,A4,A1,292,100.0,8
1.599,A1,A3,A0,0,150.0,0
14.9,A0,A1,A0,87,30.0,12
0.5,A0,A8,A2,0,5.0,0
0.0,A0,A3,A0,75,150.0,5
17.999,A0,A3,A0,218,125.0,1
9.9,A0,A3,A1,170,150.0,9
6.5,A0,A7,A0,109,125.0,5
5.6,A0,A0,A0,140,150.0,2
0.399,A1,A1,A0,40,150.0,10
0.799,A1,A3,A0,115,150.0,12
1.89,A1,A3,A0,0,150.0,9
27.5,A1,A3,A1,220,40.0,5
1.77,A1,A8,A0,116,,9
6.999,A1,A0,A1,170,150.0,1
6.45,A0,A2,A1,231,150.0,4
0.6,A0,A0,A0,84,150.0,10
3.5,A1,A7,A1,110,150.0,1
1.15,A1,A3,A0,125,150.0,2
1.199,A0,A0,A0,90,150.0,3
2.2,A0,A3,A0,101,150.0,9
1.65,A0,A8,A0,45,150.0,4
0.499,A0,A1,A0,0,100.0,0
7.5,A1,A1,A0,60,20.0,11
7.285,A0,A3,A0,140,150.0,8
0.55,A1,A1,A2,60,100.0,0
11.2,A0,A0,A0,177,150.0,5
1.39,A1,A3,A0,98,150.0,11
6.9,A1,A3,A0,105,150.0,1
2.99,A0,A8,A0,88,125.0,2
0.799,A0,A1,A0,54,150.0,2
1.299,A1,A3,A0,72,125.0,6
7.0,A1,A1,A0,60,30.0,9
0.1,A0,,A0,64,5.0,4
0.85,A1,A0,A1,0,150.0,0
0.001,A0,A8,A2,0,5.0,0
1.4,A1,A6,A0,102,150.0,7
2.8,A0,A1,A0,69,100.0,5
3.8,A1,A8,A1,155,,3
0.0,A1,A1,A1,0,150.0,0
4.999,A0,A1,A0,86,150.0,11
6.7,A1,A1,A1,82,60.0,7
8.9,A1,A3,A0,150,150.0,8
4.2,A0,A3,A0,122,150.0,7
0.7,A1,A0,A0,166,150.0,9
27.8,A0,A2,A0,160,30.0,6
2.5,A0,A0,A0,110,150.0,1
3.2,A0,A8,A0,0,150.0,0
13.7,A0,A4,A0,140,,5
7.5,A1,A3,A0,143,150.0,10
2.3,A0,A0,,101,150.0,10
3.2,A1,A1,A0,75,150.0,6
0.999,A0,A1,A0,66,150.0,12
0.2,A0,A8,A2,0,150.0,0
4.3,A0,A4,A0,150,150.0,3
1.15,A0,,A0,75,150.0,1
10.29,A0,A1,A1,122,50.0,9
3.6,A0,A5,A0,125,125.0,6
0.65,A1,A8,A0,0,150.0,4
1.25,A1,A8,A2,101,5.0,0
1.0,A0,A0,A0,103,150.0,9
1.2,A1,A0,A0,116,150.0,5
13.55,A0,A3,A0,140,90.0,5
9.95,A1,A4,A0,224,90.0,5
1.65,A0,A1,,54,,1
3.2,A1,A3,A0,125,150.0,1
3.8,A1,A5,A0,109,100.0,8
0.2,A0,A1,A0,0,150.0,11
2.9,A1,A0,A0,150,150.0,2
3.8,A1,A6,A0,115,150.0,4
1.5,A0,,A1,163,150.0,3
1.0,A0,A1,A0,98,125.0,7
0.35,A1,A1,A0,39,150.0,0
6.5,A0,A4,A1,150,150.0,3
3.5,A1,A0,A0,140,150.0,1
6.9,A1,A0,A0,90,125.0,9
5.8,A0,A0,A1,150,150.0,3
3.79,A0,A5,A0,131,150.0,5
2.15,A1,A3,A0,116,150.0,2
0.75,A1,A3,A0,90,150.0,6
0.9,A0,A1,A0,58,150.0,5
5.2,A0,A7,A0,105,,6
8.999,A1,A3,,170,150.0,9
2.25,A0,A1,A0,64,150.0,8
6.75,A1,A7,A0,102,150.0,7
1.6,A0,A5,A0,116,150.0,3
3.8,A1,A0,A0,150,150.0,9
2.5,A0,A8,A2,0,150.0,0
1.65,A0,A0,A0,120,150.0,8
1.333,A0,A1,A0,0,150.0,12
1.2,A1,A0,A1,150,125.0,10
0.35,A1,A1,A0,50,150.0,11
10.35,A1,A0,A0,94,150.0,3
1.95,A0,A1,A0,58,100.0,11
7.0,A1,A7,A0,77,150.0,11
3.5,A1,A0,A1,101,150.0,3
4.2,A1,A1,A2,116,150.0,12
10.5,A1,A1,A0,132,30.0,6
2.25,A1,A0,,116,150.0,6
22.2,A0,A0,A0,211,50.0,1
11.5,A1,A7,A1,110,70.0,12
6.23,A1,A1,A1,71,60.0,10
4.99,A1,A0,A2,0,150.0,0
12.0,A0,A5,A0,193,,9
3.8,A0,A8,A0,150,150.0,4
0.0,A0,A1,A2,0,,4
0.45,A0,A0,A0,85,150.0,7
2.99,A0,A0,A0,143,50.0,4
1.2,A1,A7,A0,75,150.0,2
22.95,A1,A2,A0,200,60.0,2
0.7,A1,A1,,0,150.0,3
0.75,A0,A3,A0,101,150.0,0
0.75,A1,A1,A0,75,125.0,12
8.2,A0,A3,A0,150,150.0,1
5.95,A0,A0,A0,179,150.0,6
1.95,A1,A0,A0,101,150.0,8
2.45,A0,A8,A0,85,125.0,6
3.4,A0,A3,A0,105,150.0,8
1.67,A0,A8,A0,0,90.0,0
3.5,A0,A0,A0,209,150.0,9
8.9,A1,A2,A0,0,70.0,5
0.499,A1,A1,A0,45,150.0,6
3.999,A1,A1,A0,131,150.0,8
8.95,A1,A5,A0,200,150.0,4
1.55,A1,A1,A0,50,150.0,12
99.999,A0,A1,A2,0,150.0,1
1.9,A1,A0,A2,75,150.0,0
4.5,A0,A8,A0,129,150.0,4
7.9,A0,A3,A1,105,150.0,5
12.49,A0,A3,A0,105,60.0,8
4.4,A1,A1,A0,46,125.0,6
11.2,A0,A3,A1,116,60.0,11
1.25,A0,A1,A0,75,150.0,11
1.05,A1,A3,A0,103,150.0,3
6.75,A0,A4,A1,197,150.0,3
2.4,A0,A1,A0,60,125.0,5
14.0,A1,A0,A1,0,125.0,0
2.399,A1,A0,A0,90,100.0,12
5.799,A1,A0,A0,140,150.0,12
1.9,A0,A3,A0,0,150.0,0
0.8,A0,A7,A0,114,150.0,3
16.45,A0,A0,A1,235,150.0,6
0.002,A0,A8,,135,150.0,0
5.1,A0,A1,A0,73,60.0,7
3.0,A0,A8,A1,156,150.0,2
2.65,A1,A7,A0,120,150.0,12
4.99,A0,A7,A0,177,150.0,10
0.0,A0,A3,A0,147,150.0,3
0.6,A0,A8,A0,60,125.0,0
3.6,A0,A7,A0,101,150.0,5
0.45,A0,A3,A0,73,150.0,2
2.6,A0,A0,A1,193,150.0,11
1.555,A0,A3,A0,170,150.0,12
0.5,A0,A1,A0,75,150.0,9
18.999,A1,A5,A1,326,150.0,4
0.7,A0,A3,A0,144,150.0,12
1.25,A0,A8,A2,0,60.0,0
2.8,A0,A0,A0,170,,6
9.89,A1,A3,A1,143,125.0,2
3.25,A0,A1,A0,60,90.0,6
4.5,A1,A3,A0,131,150.0,2
1.85,A0,A1,A1,61,90.0,11
3.6,A0,A0,A1,136,150.0,2
9.6,A0,A5,A0,130,125.0,8
1.05,A0,A1,A1,65,100.0,11
6.229,A0,A5,A0,170,150.0,6
9.999,A0,A2,A1,204,100.0,4
5.9,A0,A5,A1,84,50.0,7
1.8,A1,A3,A0,115,150.0,5
5.5,A0,A5,,116,125.0,8
0.85,A1,A0,A0,101,150.0,10
13.0,A0,A0,A0,140,100.0,6
6.799,A0,A4,A0,163,150.0,6
2.0,A0,A8,,102,150.0,7
1.499,A1,A1,A0,90,150.0,4
0.2,A1,A8,A1,0,150.0,8
1.9,A0,,A0,116,150.0,2
1.59,A0,A1,A0,0,150.0,4
1.0,A0,A1,A0,58,150.0,7
18.0,A1,A3,A0,160,50.0,0
1.0,A1,A8,A0,0,100.0,0
9.99,A1,A7,A0,131,,6
2.75,A0,A1,A0,64,150.0,3
3.7,A1,A4,A0,101,150.0,7
0.6,A0,A0,A2,0,150.0,1
1.99,A0,A0,,0,150.0,4
7.699,A0,A2,A1,150,150.0,4
1.7,A0,A0,A0,105,150.0,7
6.0,A0,A8,A0,120,125.0,1
23.5,A0,A4,A1,204,100.0,11
1.0,A1,A1,A0,54,150.0,5
3.0,A0,A5,A0,109,125.0,2
0.65,A0,A1,A0,0,125.0,0
19.2,A1,A0,A0,245,80.0,3
8.15,A1,A0,A0,105,90.0,12
0.45,A0,A1,A0,60,150.0,12
2.45,A0,A0,A0,116,150.0,1
2.25,A1,A7,A0,116,70.0,3
8.7,A0,A4,A1,367,150.0,8
3.9,A1,A5,A1,203,150.0,11
5.3,A1,A8,A0,68,150.0,3
0.75,A0,A0,A0,75,150.0,5
5.0,A0,A1,A0,44,20.0,1
0.75,A1,A1,A0,54,150.0,11
4.7,A1,A3,A1,155,150.0,5
0.45,A0,A8,A0,60,150.0,0
3.2,A1,A5,A0,90,150.0,7
9.5,A0,A3,A0,209,125.0,2
1.999,A1,A1,A0,67,70.0,6
13.99,A0,A3,,140,30.0,2
3.75,A0,A2,A0,99,,12
0.1,A0,A8,A0,88,150.0,2
2.4,A0,A4,A0,0,,0
1.05,A1,A0,A0,136,150.0,12
23.5,A1,A3,A1,204,100.0,12
1.8,A1,A0,A0,122,150.0,9
2.55,A1,A3,A0,26,90.0,4
1.95,A1,A7,A1,170,150.0,1
2.7,A0,A8,A0,112,150.0,10
11.9,A1,A0,A1,207,150.0,5
0.55,A0,A0,A1,69,150.0,2
6.45,A0,A3,A0,230,150.0,4
9.999,A0,A0,A1,218,150.0,12
0.05,A0,A1,A0,45,150.0,0
25.5,A0,A0,A1,184,40.0,10
0.45,A1,A1,,50,150.0,4
3.8,A0,A6,A0,109,125.0,12
1.35,A0,A8,A0,0,150.0,0
0.8,A0,A1,A0,54,150.0,2
4.25,A0,A1,A0,58,70.0,8
8.95,A1,A0,A0,218,150.0,1
1.8,A0,A4,A0,143,150.0,11
6.0,A0,A2,A1,234,150.0,1
0.99,A0,A3,A0,75,150.0,8
8.8,A0,A3,A1,170,150.0,9
1.15,A1,A1,A0,75,,10
3.2,A0,A3,A0,110,150.0,5
1.55,A1,A8,A0,75,150.0,6
9.999,A0,A4,A0,201,150.0,5
0.75,A1,A1,,90,150.0,2
0.0,A1,A8,A0,101,150.0,0
16.5,A1,A4,A1,275,150.0,7
5.7,A1,A5,A0,197,,10
10.9,A1,A2,A1,272,125.0,11
6.0,A0,A3,A0,116,150.0,4
2.4,A1,A1,A0,90,150.0,12
0.699,A1,A0,A0,75,150.0,3
45.8,A1,A4,A0,355,125.0,11
4.2,A1,A0,A0,105,150.0,5
2.666,A1,A5,A0,65,,6
4.6,A1,A3,A0,200,150.0,9
15.0,A0,A5,A0,183,80.0,6
37.5,A0,A0,A1,245,70.0,1
4.5,A1,A3,,150,150.0,12
0.3,A0,A3,A0,0,150.0,2
3.85,A1,A4,A1,129,150.0,1
1.1,A0,A8,A0,0,150.0,0
1.3,A0,A8,A0,75,150.0,10
0.89,A0,A0,A0,0,150.0,5
0.7,A1,A3,A0,115,150.0,0
0.55,A0,A1,A0,60,150.0,9
0.9,A0,A2,A0,116,150.0,3
0.5,A0,A1,A0,54,150.0,5
9.5,A0,A4,A1,218,125.0,1
0.2,A0,A0,A0,90,150.0,12
1.2,A1,A1,A0,85,125.0,3
1.35,A0,A5,A0,90,150.0,4
39.996,A0,A5,A0,300,40.0,2
1.3,A1,A8,A2,0,150.0,0
2.35,A0,A0,A0,75,150.0,5
5.9,A1,A3,A1,150,150.0,5
6.99,A0,A2,A1,184,150.0,1
0.6,A0,A1,A0,51,150.0,1
37.9,A1,A7,A1,192,10.0,3
0.45,A1,A0,A0,136,150.0,3
7.499,A1,A3,A0,143,150.0,3
2.0,A1,A0,A0,105,150.0,9
0.5,A1,A1,A0,58,150.0,12
0.65,A0,A0,A2,0,150.0,0
0.35,A0,A1,A0,60,125.0,5
2.3,A0,A8,A1,0,150.0,0
0.25,A0,A4,,125,150.0,1
9.5,A1,A0,A0,122,80.0,9
5.6,A0,A0,A0,116,90.0,8
0.29,A0,A8,A0,60,150.0,0
6.8,A0,A0,A0,130,150.0,6
3.99,A0,A5,A1,84,70.0,7
6.5,A0,A2,A1,150,150.0,3
0.6,A0,A1,A0,60,150.0,10
11.9,A0,A3,A1,150,125.0,3
0.6,A0,A0,,90,150.0,10
0.75,A1,A1,A0,58,150.0,10
2.5,A0,A6,A0,68,150.0,9
2.1,A0,A1,A0,95,150.0,10
6.495,A0,A4,A1,170,150.0,3
2.0,A1,A0,A0,116,100.0,10
5.2,A1,A3,A1,126,150.0,9
1.0,A1,A7,A0,90,150.0,0
23.5,A1,A2,A0,165,40.0,4
4.444,A1,A3,A0,150,150.0,12
0.7,A1,A0,A0,75,150.0,0
6.69,A1,A0,A0,109,70.0,2
2.15,A1,A7,A0,116,150.0,9
3.4,A0,A0,A0,75,30.0,11
1.5,A1,A3,A1,279,150.0,3
0.75,A1,A8,A2,0,150.0,0
0.5,A1,A3,A0,90,150.0,4
3.35,A0,A5,A0,170,150.0,10
10.7,A0,A0,A0,125,50.0,11
15.99,A0,A7,A0,174,150.0,6
0.499,A0,A1,A0,60,70.0,3
2.85,A1,A3,A0,65,150.0,8
1.0,A0,A7,A0,133,150.0,3
1.899,A0,A0,A0,150,150.0,2
1.7,A1,A1,A0,65,150.0,3
8.25,A1,A7,A0,114,150.0,7
1.99,A1,A1,A1,54,90.0,1
0.6,A0,A3,A0,90,150.0,10
0.25,A0,A1,A0,60,150.0,3
1.5,A1,A0,A0,75,125.0,2
59.999,A1,A2,A0,122,40.0,12
1.4,A1,A3,A0,90,125.0,0
2.8,A0,A3,A2,165,150.0,0
0.82,A1,A0,A1,105,150.0,7
21.55,A0,A0,A1,239,150.0,5
22.45,A1,A5,A1,204,60.0,3
0.7,A0,A3,A1,218,100.0,1
3.7,A0,A1,A0,80,125.0,5
48.0,A0,A4,,557,90.0,8
2.75,A0,A3,,143,150.0,6
2.8,A0,A3,A0,0,150.0,0
0.6,A0,A1,A0,52,125.0,7
32.9,A1,A0,A1,286,100.0,3
0.0,A0,A1,A0,52,125.0,1
0.9,A1,A7,A0,150,150.0,3
1.5,A0,A3,A0,150,150.0,2
18.5,A1,A7,A0,136,50.0,8
3.65,A0,A0,A1,282,150.0,0
18.5,A0,A5,A0,143,80.0,9
0.5,A0,A0,A0,75,150.0,0
0.65,A1,A1,A0,60,150.0,5
1.55,A0,A0,A0,60,90.0,10
1.499,A0,A3,A1,180,150.0,4
2.5,A0,A0,A0,0,150.0,0
2.999,A1,A3,A1,125,125.0,8
2.25,A0,A0,A2,0,150.0,10
2.64,A1,A0,A0,165,150.0,0
0.8,A1,A8,A0,75,150.0,6
13.9,A1,A4,A0,179,50.0,11
0.1,A1,A0,A1,0,150.0,4
5.5,A0,A0,A1,102,150.0,4
1.45,A1,A7,A0,69,150.0,2
14.5,A0,A7,A0,151,150.0,8
22.0,A1,A3,A1,147,150.0,1
3.0,A0,A7,A1,144,150.0,7
7.8,A1,A8,A0,105,150.0,3
5.59,A1,A0,A0,95,125.0,3
0.75,A0,A8,A0,65,150.0,5
19.99,A1,A0,A1,344,50.0,11
1.85,A0,A1,A0,75,150.0,4
1.1,A1,A8,A0,0,150.0,5
19.98,A1,A2,,184,150.0,3
0.0,A0,A8,A0,0,150.0,0
0.9,A1,A0,A0,90,150.0,7
0.85,A1,A1,A0,45,90.0,0
16.2,A1,A2,A1,171,125.0,5
0.0,A0,A6,A0,79,150.0,9
5.2,A1,A5,A0,69,125.0,5
9.999,A1,A8,A1,0,150.0,6
0.5,A1,A0,A0,109,150.0,12
0.95,A1,A3,A0,0,150.0,0
2.65,A0,A1,A0,61,70.0,9
6.45,A0,A7,A0,116,150.0,10
2.2,A1,A1,A0,75,150.0,6
14.5,A0,A0,A1,272,150.0,2
1.25,A0,A0,A0,0,150.0,4
5.8,A1,A3,A0,193,150.0,5
8.7,A0,A0,A0,150,150.0,7
6.99,A1,A1,A0,69,60.0,10
7.5,A1,A5,A0,136,90.0,12
0.85,A1,A0,A0,75,150.0,5
1.3,A0,A1,A0,60,150.0,9
4.5,A0,A0,A1,163,150.0,4
0.45,A1,A1,A1,60,,8
0.85,A1,A1,A0,60,150.0,9
0.65,A1,A1,A0,60,150.0,10
1.95,A0,A8,A1,90,70.0,10
10.999,A0,A2,A0,140,125.0,6
5.0,A1,A3,A1,150,150.0,2
6.5,A0,A0,A1,163,150.0,9
11.0,A1,A3,A0,160,90.0,2
12.79,A1,A3,A1,177,150.0,1
1.4,A0,A0,A0,115,,6
0.3,A1,A8,A0,105,5.0,0
6.7,A1,A3,A0,122,150.0,7
10.5,A1,A3,,109,70.0,6
1.9,A0,A1,,107,150.0,11
30.5,A0,A0,A1,265,125.0,3
3.3,A1,A3,A0,150,150.0,5
0.35,A1,A4,A0,88,5.0,9
3.5,A0,A7,A0,109,150.0,12
0.999,A1,A1,A0,135,150.0,4
3.99,A0,A3,A0,163,150.0,0
0.4,A0,A7,A0,0,150.0,12
12.95,A1,A1,A0,75,5.0,4
8.6,A1,A0,A1,272,150.0,12
4.59,A1,A7,A0,140,150.0,6
0.05,A0,A8,A2,0,150.0,0
1.35,A0,A7,A0,131,150.0,10
0.799,A0,A1,A2,54,150.0,0
1.45,A0,A0,A0,101,150.0,10
6.85,A0,A7,A1,190,150.0,9
1.75,A1,A1,A2,45,125.0,11
6.6,A0,A3,A0,125,150.0,10
8.95,A1,A1,A0,143,125.0,1
0.001,A1,A8,A0,0,150.0,0
3.3,A0,A0,A0,75,150.0,9
4.45,A0,A1,A1,71,70.0,3
0.45,A0,A1,A0,60,150.0,12
0.6,A1,A8,,0,150.0,4
2.6,A0,A3,A1,200,150.0,6
9.9,A1,A3,A0,140,150.0,2
0.675,A1,A0,A0,129,,3
6.75,A1,A8,A0,80,60.0,2
9.8,A1,A0,A0,129,60.0,5
5.0,A1,A7,A0,140,150.0,11
1.2,A0,A1,A0,60,,3
9.5,A0,A3,A1,140,150.0,3
13.55,A0,A3,A0,125,70.0,5
1.25,A0,A1,A0,54,125.0,8
9.999,A1,A1,A0,86,70.0,6
4.19,A1,A8,A0,110,150.0,2
0.0,A1,A8,A2,0,100.0,0
9.1,A1,A3,,105,60.0,4
0.0,A1,A1,A1,102,150.0,9
0.999,A1,A0,A0,75,150.0,12
1.15,A1,A3,A0,136,150.0,4
1.4,A1,A0,A0,55,70.0,6
1.0,A0,A3,A0,115,150.0,9
5.499,A0,A1,A0,82,125.0,6
10.25,A0,A5,A0,150,80.0,5
8.5,A1,A0,A0,122,150.0,0
6.9,A1,A8,A2,0,150.0,0
11.549,A0,A0,A1,306,150.0,5
6.25,A0,A1,A0,75,125.0,5
0.999,A1,A1,A0,75,150.0,3
8.5,A1,A1,A0,60,60.0,10
1.45,A0,A7,A0,110,150.0,8
4.95,A1,A5,A1,72,70.0,4
9.6,A1,A0,A0,170,150.0,12
6.99,A0,A3,A0,140,150.0,2
2.2,A1,A0,A0,0,150.0,0
29.5,A1,A0,A1,388,100.0,12
2.3,A0,A7,A0,144,,12
7.99,A0,A0,A0,102,50.0,6
0.599,A1,A8,A1,60,150.0,7
1.75,A1,A1,A2,0,,8
1.099,A1,A1,A0,50,150.0,4
13.0,A0,A2,A1,224,125.0,7
29.999,A1,A0,A1,230,40.0,2
1.49,A1,A3,A0,110,150.0,2
0.0,A0,A0,A0,26,,0
0.58,A0,A1,A0,45,150.0,2
3.3,A0,A8,A0,140,150.0,0
4.999,A0,A0,A1,250,150.0,4
4.19,A1,A0,A0,150,150.0,3
3.2,A1,A8,A0,75,150.0,0
1.2,A1,A1,A2,0,150.0,0
6.9,A0,A1,,80,90.0,1
3.99,A1,A7,A0,140,150.0,12
0.35,A1,A8,A0,75,150.0,0
4.7,A1,A0,A0,147,150.0,8
5.95,A1,A7,A1,0,150.0,8
19.999,A0,A7,A1,174,150.0,9
0.6,A1,A8,A2,75,5.0,0
5.99,A0,A0,A0,140,150.0,9
18.999,A0,A0,A1,245,150.0,6
27.5,A1,A3,A1,265,125.0,9
32.7,A1,A2,A1,140,20.0,10
3.9,A1,A8,A1,0,90.0,7
28.5,A1,A2,A1,231,125.0,11
1.25,A0,A0,A0,90,150.0,5
1.45,A1,A0,A0,90,150.0,3
0.4,A1,A8,A0,70,150.0,3
0.55,A0,A8,A0,71,150.0,0
69.0,A1,A4,A0,265,150.0,12
0.65,A1,A3,A0,193,150.0,2
3.49,A0,A0,A1,132,150.0,12
3.3,A0,A7,A0,101,150.0,7
14.5,A0,A2,A0,86,30.0,10
1.25,A0,A1,A0,50,150.0,9
4.0,A0,A1,A0,95,60.0,0
16.95,A0,A0,A0,184,150.0,7
725.0,A1,A4,A0,625,5.0,4
7.499,A1,A3,A0,105,125.0,6
4.0,A1,A0,A0,75,150.0,9
1.45,A0,A0,A0,0,150.0,6
0.6,A1,A8,A0,45,150.0,0
0.99,A0,A8,A0,60,125.0,12
0.8,A1,A1,A0,50,90.0,5
8.099,A0,A7,A0,105,150.0,4
2.155,A1,A3,A1,150,150.0,3
2.9,A1,A4,A0,131,150.0,2
0.1,A0,A1,,45,100.0,1
0.0,A0,A3,A0,101,150.0,0
3.5,A0,A2,A2,80,80.0,9
22.495,A0,A0,A0,235,50.0,9
0.4,A0,A8,A2,0,5.0,2
1.6,A1,A3,A2,163,150.0,0
0.5,A0,A8,A0,0,150.0,6
6.9,A0,A3,A0,140,150.0,6
1.65,A1,A0,A0,75,,11
12.5,A0,A7,A0,105,90.0,3
12.95,A1,A4,A1,160,50.0,1
1.2,A1,A0,A0,75,150.0,9
0.4,A0,A8,A0,75,60.0,10
2.85,A1,A7,A0,109,5.0,7
1.0,A0,A3,A0,116,150.0,7
19.95,A1,A0,,286,150.0,6
1.2,A1,A1,A0,60,,11
3.8,A0,A8,A0,55,30.0,0
3.899,A0,A0,A0,170,5.0,8
1.69,A1,A3,A0,150,150.0,5
1.6,A1,A0,A0,105,150.0,1
19.999,A1,A5,A1,272,90.0,6
1.85,A0,A1,A0,58,150.0,5
0.7,A1,A3,,132,150.0,3
1.2,A0,A1,A0,60,150.0,1
0.12,A0,A1,A0,0,150.0,7
9.999,A0,A4,A0,225,125.0,4
16.0,A1,A2,A1,387,150.0,6
5.5,A1,A0,A0,90,150.0,10
4.9,A1,A0,A1,136,150.0,6
12.5,A1,A0,A0,116,60.0,4
13.9,A0,A3,A1,272,150.0,7
18.8,A0,A0,A1,190,125.0,2
7.499,A1,A8,A1,299,150.0,6
6.599,A0,A3,A1,204,150.0,10
4.2,A0,A4,A0,140,150.0,5
0.0,A1,A8,A2,0,5.0,0
18.5,A1,A2,A0,140,20.0,10
4.449,A1,A3,A1,163,150.0,11
12.98,A0,A4,A1,272,150.0,10
9.999,A0,A8,A1,0,150.0,3
18.9,A0,A7,A0,102,100.0,1
0.65,A1,A0,A0,75,125.0,7
1.699,A1,A3,A0,0,150.0,10
0.999,A1,A0,A1,136,150.0,9
4.5,A0,A3,A1,116,150.0,9
1.399,A0,A1,A0,60,50.0,12
1.95,A1,A1,A0,95,100.0,1
1.399,A1,A3,A0,116,150.0,9
0.999,A1,A0,A0,112,150.0,3
4.95,A1,A8,A0,27,125.0,3
3.0,A0,A3,A1,0,150.0,7
4.45,A0,A2,A0,150,125.0,12
6.95,A1,A0,A0,105,,11
11.2,A1,A0,A0,125,125.0,1
0.35,A1,A0,A0,75,150.0,9
4.58,A1,A0,A0,109,80.0,8
6.989,A0,A3,A1,190,150.0,2
33.5,A0,A5,A1,184,30.0,2
25.5,A1,A7,A0,129,150.0,9
5.25,A1,A7,A0,102,125.0,11
2.699,A0,A3,A0,145,150.0,4
4.25,A1,A1,A0,95,125.0,12
7.999,A1,A7,A0,86,60.0,10
0.45,A0,A1,A1,75,150.0,3
5.8,A1,A8,A0,0,100.0,8
0.5,A0,A3,A2,0,150.0,0
5.25,A0,A3,A0,143,90.0,2
2.3,A1,A0,A2,0,150.0,8
